country_code,distinct_days,total_articles,avg_articles_per_day
US,184,68578300,372708.2
CH,184,36427146,197973.6
IR,184,30687600,166780.4
RS,184,20824256,113175.3
UK,184,17595913,95630.0
UP,184,15694777,85297.7
IN,184,15316981,83244.5
IS,184,14353017,78005.5
IT,184,12690759,68971.5
GM,184,11575025,62907.7
SP,184,10506641,57101.3
CA,184,9324188,50674.9
TU,184,9183628,49911.0
FR,184,9071620,49302.3
AS,184,8411993,45717.4
MX,184,7671507,41693.0
ID,184,7006992,38081.5
JA,184,6649692,36139.6
BR,184,5960735,32395.3
TW,184,5425037,29483.9
GR,184,5350739,29080.1
LE,184,4233707,23009.3
VM,184,3976483,21611.3
AR,184,3882810,21102.2
KS,184,3830819,20819.7
PK,184,3735949,20304.1
RO,184,3630181,19729.2
EG,184,3381395,18377.1
CO,184,3198666,17384.1
PL,184,3134135,17033.3
SW,184,3015069,16386.2
VE,184,2817909,15314.7
NI,184,2665807,14488.1
SA,184,2641049,14353.5
EI,184,2404198,13066.3
SZ,184,2357203,12810.9
HU,184,2032079,11043.9
AU,184,1945841,10575.2
PO,184,1928096,10478.8
CU,184,1788235,9718.7
IZ,184,1769112,9614.7
NL,184,1724270,9371.0
TH,184,1709880,9292.8
BE,184,1665630,9052.3
BU,184,1481887,8053.7
HK,184,1459669,7933.0
AE,184,1449521,7877.8
EZ,184,1427509,7758.2
RP,184,1404097,7631.0
SF,184,1402940,7624.7
PE,184,1372412,7458.8
FI,184,1361680,7400.4
HR,184,1356006,7369.6
NO,184,1340253,7284.0
RI,184,1297489,7051.6
LH,184,1276527,6937.6
QA,184,1268241,6892.6
SY,184,1262473,6861.3
MO,184,1250151,6794.3
NZ,184,1228718,6677.8
BG,184,1152697,6264.7
CI,184,1148961,6244.4
DA,184,1102716,5993.0
AM,184,1071407,5822.9
MK,184,1067828,5803.4
CY,184,1006849,5472.0
AL,184,986508,5361.5
AJ,184,906096,4924.4
RB,184,899027,4886.0
NP,184,897066,4875.4
AF,184,873265,4746.0
JO,184,810821,4406.6
BO,184,793134,4310.5
SN,184,772221,4196.9
MD,184,764084,4152.6
MY,184,760313,4132.1
KU,184,718309,3903.9
MU,184,700686,3808.1
KE,184,666310,3621.3
BA,184,611745,3324.7
EC,184,574465,3122.1
KV,184,569322,3094.1
CE,184,533466,2899.3
KN,184,527539,2867.1
GH,184,526817,2863.1
AG,184,522413,2839.2
KZ,184,513563,2791.1
LG,184,509368,2768.3
SU,184,507704,2759.3
SI,184,507462,2757.9
WE,184,492016,2674.0
YM,184,462099,2511.4
OS,184,444627,2416.5
LO,184,424835,2308.9
CF,184,409955,2228.0
PM,184,403163,2191.1
BL,184,400465,2176.4
SG,184,399369,2170.5
UG,184,394100,2141.8
LY,184,391738,2129.0
PA,184,391148,2125.8
TS,184,379985,2065.1
EN,184,362372,1969.4
UY,184,360443,1958.9
HA,184,292892,1591.8
GL,184,281936,1532.3
KG,184,276842,1504.6
ML,184,268865,1461.2
GG,184,266416,1447.9
BK,184,257229,1398.0
UZ,184,256648,1394.8
IC,184,250795,1363.0
CB,184,247881,1347.2
SO,184,241505,1312.5
ZI,184,241196,1310.8
JE,184,234673,1275.4
DJ,184,233299,1267.9
MP,184,218855,1189.4
LU,184,218457,1187.3
CM,184,205634,1117.6
GT,184,203311,1105.0
ET,184,199510,1084.3
BX,184,198190,1077.1
MG,184,197283,1072.2
RE,184,186060,1011.2
MN,184,180143,979.0
CG,184,168511,915.8
TZ,184,167984,913.0
HO,184,163753,890.0
JM,184,162982,885.8
BF,184,159429,866.5
GV,184,155662,846.0
LI,184,154064,837.3
RW,184,153693,835.3
MJ,184,152233,827.4
MC,184,152126,826.8
LA,184,133623,726.2
FJ,184,133387,724.9
ZA,184,133372,724.8
AO,184,128405,697.9
MT,184,128204,696.8
WA,184,121784,661.9
CV,184,119996,652.2
ES,184,116085,630.9
MI,184,113624,617.5
NG,184,110213,599.0
NU,184,109627,595.8
GY,184,107887,586.3
DR,184,106589,579.3
GZ,184,101132,549.6
UV,184,95162,517.2
MV,184,94338,512.7
IV,184,91443,497.0
BM,184,90441,491.5
MR,184,90217,490.3
AY,184,89880,488.5
OD,184,89792,488.0
TX,184,89370,485.7
TI,184,89007,483.7
MZ,184,85305,463.6
CS,184,83880,455.9
CD,184,82978,451.0
MA,184,72250,392.7
BH,184,69358,376.9
BD,184,67101,364.7
PP,184,64499,350.5
GA,184,63515,345.2
GP,184,61600,334.8
AN,184,60142,326.9
RQ,184,57156,310.6
SE,184,56102,304.9
TD,184,55377,301.0
CJ,184,53158,288.9
GB,184,53155,288.9
BN,184,49484,268.9
NS,184,47673,259.1
BB,184,45599,247.8
BC,184,45241,245.9
VT,184,40982,222.7
BP,184,40350,219.3
GQ,184,40317,219.1
DO,184,39004,212.0
PS,184,38793,210.8
GI,184,38358,208.5
TT,184,37350,203.0
SL,184,35742,194.3
GJ,184,33770,183.5
VC,184,33309,181.0
TO,184,33019,179.5
BT,184,31705,172.3
OC,184,30946,168.2
NH,184,30664,166.7
BY,184,30586,166.2
ER,184,30578,166.2
YI,184,30311,164.7
LT,184,27213,147.9
EK,184,26359,143.3
WS,184,25750,139.9
TN,184,24162,131.3
NC,184,23301,126.6
PU,184,21578,117.3
LS,184,19979,108.6
CT,184,19371,105.3
TK,184,18535,100.7
GK,184,17650,95.9
MB,184,16066,87.3
MF,184,15523,84.4
VQ,184,14671,79.7
FP,184,14365,78.1
AC,184,13706,74.5
RM,184,13165,71.5
MH,184,12296,66.8
AA,184,11752,63.9
CW,184,11556,62.8
TP,184,11191,60.8
TV,184,10819,58.8
ST,184,10173,55.3
SV,184,8738,47.5
CN,184,8516,46.3
SM,184,7487,40.7
VI,184,6978,37.9
AQ,184,6460,35.1
FO,184,5348,29.1
NR,183,11902,65.0
FM,183,11603,63.4
WI,183,9876,54.0
RN,183,2207,12.1
KR,182,5460,30.0
SH,181,9569,52.9
CQ,181,4839,26.7
FG,181,3398,18.8
WZ,179,4146,23.2
SC,172,4517,26.3
AV,172,2334,13.6
NT,162,1572,9.7
PC,160,1909,11.9
NE,150,1463,9.8
IM,145,2285,15.8
PG,142,2315,16.3
TL,138,2443,17.7
SB,126,2265,18.0
PF,118,1774,15.0
NF,118,1330,11.3
FK,100,2953,29.5
KT,98,504,5.1
IO,87,7938,91.2
WQ,82,222,2.7
HQ,35,98,2.8
LQ,30,72,2.4
JQ,30,62,2.1
BV,27,158,5.9
JN,23,106,4.6
DQ,16,102,6.4
FQ,14,30,2.1
KQ,12,22,1.8
BQ,5,18,3.6
IP,3,5,1.7
MQ,2,3,1.5
CR,2,2,1.0
EU,1,1,1.0
CK,1,1,1.0
